"","X126.rep1","X127N.rep1","X127C.rep1","X128N.rep1","X128C.rep1","X129N.rep1","X129C.rep1","X130N.rep1","X130C.rep1","X131.rep1","X126.rep2","X127N.rep2","X127C.rep2","X128N.rep2","X128C.rep2","X129N.rep2","X129C.rep2","X130N.rep2","X130C.rep2","X131.rep2","markers","svm.classification","svm.score","tagm.classification","tagm.probability"
"Q9JHU4",0.028,0.034,0.024,0.014,0.026,0.045,0.107,0.341,0.059,0.321,0.037,0.064,0.058,0.059,0.067,0.078,0.14,0.208,0.141,0.147,"unknown","Peroxisome",0.303,"Nucleus - Chromatin",0.999999983161247
"Q9ERU9",0.021,0.013,0.014,0.009,0.024,0.054,0.116,0.257,0.209,0.284,0.026,0.017,0.023,0.029,0.039,0.071,0.105,0.171,0.304,0.215,"unknown","Nucleus - Chromatin",0.737,"Nucleus - Chromatin",0.999998979930214
"P26039",0.12,0.255,0.148,0.091,0.135,0.095,0.041,0.057,0.014,0.043,0.111,0.181,0.141,0.144,0.152,0.119,0.075,0.028,0.017,0.033,"Actin cytoskeleton","Actin cytoskeleton",1,"Actin cytoskeleton",1
"Q8BTM8",0.055,0.139,0.078,0.05,0.077,0.098,0.093,0.171,0.079,0.16,0.062,0.108,0.091,0.086,0.099,0.111,0.117,0.095,0.144,0.087,"unknown","Endoplasmic reticulum/Golgi apparatus",0.218,"40S Ribosome",0.99974194672382
"A2ARV4",0,0.085,0.223,0.166,0.292,0.107,0.041,0.051,0,0.036,0.003,0.054,0.147,0.257,0.291,0.143,0.064,0.028,0.005,0.008,"unknown","Lysosome",0.681,"Lysosome",0.999999481160258
"Q80X90",0.136,0.189,0.106,0.063,0.1,0.113,0.067,0.08,0.076,0.071,0.13,0.139,0.111,0.109,0.118,0.12,0.089,0.038,0.105,0.04,"unknown","Actin cytoskeleton",0.142,"Actin cytoskeleton",0.549372568714124
"Q68FD5",0.131,0.173,0.106,0.065,0.128,0.182,0.095,0.044,0.046,0.031,0.117,0.11,0.109,0.1,0.13,0.185,0.133,0.041,0.044,0.032,"unknown","Endoplasmic reticulum/Golgi apparatus",0.273,"Plasma membrane",0.833200825853154
"Q07113",0,0.026,0.078,0.101,0.398,0.267,0.062,0.041,0.004,0.024,0.002,0.026,0.056,0.14,0.312,0.311,0.098,0.038,0.009,0.008,"unknown","Endosome",0.322,"Lysosome",0.611047602612225
"Q99PL5",0.009,0.029,0.036,0.025,0.078,0.27,0.212,0.17,0.036,0.134,0.01,0.033,0.057,0.07,0.118,0.27,0.223,0.118,0.056,0.046,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus",1,"Endoplasmic reticulum/Golgi apparatus",1
"Q8VDD5",0.098,0.09,0.058,0.031,0.056,0.116,0.148,0.197,0.036,0.169,0.114,0.074,0.072,0.07,0.083,0.188,0.203,0.12,0.039,0.038,"unknown","Endoplasmic reticulum/Golgi apparatus",0.366,"Extracellular matrix",0.951548801586455
"Q6PB66",0,0.01,0.01,0.012,0.031,0.085,0.249,0.293,0.041,0.268,0.001,0.011,0.015,0.02,0.029,0.096,0.353,0.294,0.048,0.133,"Mitochondrion","Mitochondrion",1,"Mitochondrion",1
"Q99PV0",0.202,0.013,0.026,0.007,0.019,0.022,0.034,0.112,0.311,0.254,0.134,0.016,0.023,0.018,0.024,0.028,0.034,0.032,0.264,0.426,"unknown","Nucleus - Non-chromatin",0.821,"Nucleus - Non-chromatin",0.999999999999997
"P11276",0,0.049,0.13,0.104,0.237,0.154,0.099,0.103,0.039,0.085,0.004,0.046,0.094,0.158,0.235,0.181,0.14,0.066,0.053,0.022,"Extracellular matrix","Extracellular matrix",1,"Extracellular matrix",1
"Q6PR54",0.025,0,0.003,0,0.005,0.031,0.126,0.33,0.184,0.298,0.029,0.005,0.008,0.01,0.019,0.048,0.127,0.244,0.404,0.106,"Nucleus - Chromatin","Nucleus - Chromatin",1,"Nucleus - Chromatin",1
"Q05793",0.002,0.047,0.11,0.08,0.198,0.195,0.105,0.13,0.022,0.111,0.007,0.049,0.079,0.128,0.214,0.207,0.186,0.069,0.028,0.032,"Extracellular matrix","Extracellular matrix",1,"Extracellular matrix",1
"Q71LX4",0.018,0.276,0.159,0.105,0.145,0.109,0.052,0.061,0.023,0.052,0.016,0.198,0.151,0.161,0.157,0.158,0.081,0.037,0.019,0.021,"unknown","Plasma membrane",0.782,"Plasma membrane",0.853720099770919
"P19096",0.454,0.152,0.133,0.064,0.084,0.048,0.021,0.019,0.007,0.018,0.363,0.124,0.123,0.108,0.118,0.069,0.04,0.015,0.014,0.026,"Cytosol","Cytosol",1,"Cytosol",1
"Q9WTQ5",0.159,0.186,0.13,0.075,0.095,0.082,0.099,0.094,0,0.079,0.132,0.13,0.129,0.111,0.112,0.106,0.139,0.099,0.006,0.037,"unknown","Actin cytoskeleton",0.163,"Actin cytoskeleton",0.587852722841141
"Q9JKF1",0.076,0.328,0.166,0.115,0.152,0.093,0.032,0.018,0.004,0.016,0.078,0.208,0.16,0.16,0.167,0.12,0.059,0.019,0.009,0.021,"Plasma membrane","Plasma membrane",1,"Plasma membrane",1
"Q8CG48",0.082,0.041,0.033,0.018,0.035,0.055,0.102,0.248,0.118,0.269,0.067,0.043,0.05,0.052,0.058,0.078,0.115,0.165,0.177,0.195,"unknown","Nucleus - Chromatin",0.235,"Nucleus - Chromatin",0.999991760702194
"Q7TPV4",0.168,0.007,0.018,0.004,0.012,0.019,0.043,0.175,0.345,0.209,0.12,0.009,0.022,0.022,0.026,0.033,0.044,0.05,0.391,0.282,"unknown","Nucleus - Non-chromatin",0.933,"Nucleus - Non-chromatin",0.999952708783455
